Song Name,Artist Name
Where You Lead,Carole King
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid"
mirrorball,Taylor Swift
Avril 14th,Aphex Twin
Magical,Ed Sheeran
Late Summer,Seapony
Sweater Weather,The Neighbourhood
Old Pine,Ben Howard
Need 2,Pinegrove
Prelude,"Over the Garden Wall, The Blasting Company"
golden hour,JVKE
Witches,Alice Phoebe Lou
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
Have A Nice Day,Stereophonics
Hurricane,Luke Combs
I Forget Where We Were,Ben Howard
Space Song,Beach House
The Git Up,Blanco Brown
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland"
Dance The Night,Dua Lipa
That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band
Love On Top,Beyoncé
Electric Slide,The Hit Crew
HEAT,"Tove Lo, SG Lewis"
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean"
Shut Up and Dance,WALK THE MOON
Fentanyl Tester,"JPEGMAFIA, Danny Brown"
Drip Sweat (feat. Channel Tres),"KAYTRANADA, Channel Tres"
Murder On The Dancefloor,Sophie Ellis-Bextor
Raingurl,Yaeji
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris"
Boasty (feat. Idris Elba),"Wiley, Stefflon Don, Sean Paul, IDRIS"
Buriburi,Balming Tiger
Begin Again,Jessie Ware
True Love Waits,Radiohead
Maps,Yeah Yeah Yeahs
Seigfried,Frank Ocean
Don't Watch Me Cry,Jorja Smith
She Used To Be Mine,Sara Bareilles
enough for you,Olivia Rodrigo
Colors and Shapes,Mac Miller
Wake Me up When September Ends,Green Day
Promise,Ben Howard
The Weather (acoustic-ish),Lawrence
Goodbye,Cage The Elephant
Live Laugh Love,Sasha Alex Sloan
Gone,The Head And The Heart
Liability,Lorde
I Am Not Okay,Jelly Roll
Cry Pretty,Carrie Underwood
Afraid,The Neighbourhood
Nothing's Free,Angel Olsen
No Money,Galantis
Snuff Out the Light (Yzma's Song),Eartha Kitt
Baby Drummer,Bad Nerves
Duplantis Blues,David Ritschard
Touch-Tone Telephone,Lemon Demon
Catalina,"NLE Choppa, Yaisel LM"
Rodeo,Futurebirds
Lobo Mayor,Fother Muckers
Ain't it Funny,Danny Brown
We Were Just Kids (feat. Craig David & Kirsten Joy),"Clean Bandit, Craig David, Kirsten Joy"
Gasoline,KEY
Sea Snake,The Dip
Diet Pepsi,Addison Rae
Auf und auf voll Lebenslust,Takeo Ischi
Stacking Chairs,Middle Kids
Hacker,Death Grips
𝘠𝘚𝘓,"June Freedom, Elji Beatzkilla"
Kashmer,Jasper Tygner
Pyramid,ALYSS
Do you want to walk with me? (Romance 101 X Jukjae),Jukjae
Two Summers,"One11Twenty, Tim Jordan, Mitch Mueller, Kyle DelFatti"
Tennessee Whiskey,Chris Stapleton
Want Me,Baby Queen
The Place Where He Inserted the Blade,"Black Country, New Road"
She Drives Me Crazy,Fine Young Cannibals
What You Know,Two Door Cinema Club
End of Beginning - triple j Like A Version,The Beaches
Hold My Liquor,Kanye West
Complicated,Avril Lavigne
Pay Me,The Philharmonik
Good Life,Sammy Rae & The Friends
Dreams Tonite,Alvvays
Kaancepts,K.A.A.N.
Mon Esprit,Sweet Crude
If I Had You,Adam Lambert
That's What I Like,Bruno Mars
Cough Syrup,Young the Giant
Dog Days Are Over,Florence + The Machine
Jet Fuel,Mac Miller
Free Porn Cheap Drugs,G-Eazy
Fire - Part 1,The Struts
Heartbeat Highway,Cannons
The Underdog,Spoon
the moon of Seoul,Kim Gun Mo
Unwritten,Natasha Bedingfield
Round Whippin',A.CHAL
Cherry,Chromatics
A Thousand Miles,Vanessa Carlton
The Trip,Still Corners
Love Story (vs Finally) - Tim Deluxe Radio Mix,"Layo & Bushwacka!, Tim Deluxe"
Turn,The Wombats
The World Is Yours,Nas
Bring Me To Life,Evanescence
What's Up?,4 Non Blondes
Piece of My Heart,"Big Brother & The Holding Company, Janis Joplin"
Austere,The Joy Formidable
Don't Give Up,Noisettes
ブルーバード,Ikimonogakari
Sorry Not Sorry - Rock Version,"Demi Lovato, Slash"
Automatic Sun,The Warning
Bang Bang X See You Again - Live,Miley Cyrus
I Got Heaven,Mannequin Pussy
Misery Business,Paramore
Man! I Feel Like A Woman!,Shania Twain
Boom Boom Back,"Hinds, Beck"
Adored,LAUREL
Bad Reputation,Joan Jett & the Blackhearts
Lumaby,"Mejiwahn, hrlum"
TRUST!,Rebecca Black
"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000
Unison,Björk
Drums of Death,"FKA twigs, Koreless"
Sylph,"COUCOU CHLOE, KABLAM"
Victoria,Jukebox The Ghost
Chicken Attack,The Gregory Brothers
Indigo Puff,Sundara Karma
The Most Wanted Person In The United States,100 gecs
JOY (Life Goes On),"Ezra Collective, Sampa the Great, Joy Anonymous"
Across The Room,"ODESZA, Leon Bridges"
7 элемент,Vitas
사시랭이소리,SsingSsing
New Born,Muse
Watermelon Sugar - Spotify Singles,Emei
New Rules x Are You That Somebody?,Pentatonix
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),"Miley Cyrus, Stevie Nicks"
Linger - SiriusXM Session,Royel Otis
Blank Space,I Prevail
That Funny Feeling,Phoebe Bridgers
Halo - Live,LP
Havana,"Walk off the Earth, Jocelyn Alice, KRNFX"
"The Winner Takes It All - From ""Mamma Mia!""",Meryl Streep
Gangsta's Paradise - Epic Orchestral Version,Carameii
Tim McGraw - Recorded At Spotify Studios NYC,Maggie Rogers
Take Me to the River,Lorde
Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse"
Pink Pony Club - Plankton Cover,vunes
While My Guitar Gently Weeps,"Tom Petty, Jeff Lynne, Steve Winwood, Dhani Harrison, Prince"
The Girl From Ipanema,Amy Winehouse
Under Pressure,"My Chemical Romance, The Used"
